normal_predict_amount,normal_predict_error,set,significance,timestamp
8822815.548,67828.61824,a=a4&b=b26;a=a2&d=d2;b=b24&d=d5,0.016507748,1451019300
2521163.575,20054.41648,a=a4&b=b25;a=a4&b=b5;a=a6&c=c1,0.103810547,1450910100
9882701.44,74435.98616,a=a4&b=b29;b=b5&d=d5;b=b26&d=d5,0.004184331,1451220600
9206831.555,72545.63066,a=a2&b=b24;b=b9&d=d4;b=b16&d=d8,0.014571487,1451197140
10659018.95,86578.10317,a=a4&c=c7;c=c4&d=d2;a=a2&d=d3,0.038530333,1450769700
8872317.788,71231.00495,a=a5&c=c2;c=c8&d=d8;a=a3&b=b20,0.01210974,1451098320
9832750.315,73367.99086,a=a4&b=b7;a=a2&d=d4;a=a1&d=d8,0.02646287,1450697700
9306710.388,72482.05428,a=a5&d=d8;c=c7&d=d2;a=a1&d=d1,0.021818304,1451043300
9241498.96,70290.12735,a=a2&b=b21;b=b14&d=d1;a=a6&c=c5,0.011446414,1450760100
10625864.97,86105.97773,a=a3&c=c3;a=a5&d=d8;a=a2&c=c3,0.022848928,1450939200
3716435.228,28588.67289,a=a5&d=d8;c=c2&d=d3;a=a6&b=b13,0.038670882,1450976700
9275265.85,71552.73598,a=a3&b=b14;c=c8&d=d8;a=a4&d=d5,0.018772033,1451201640
9232205.505,76118.99188,a=a4&d=d2;b=b16&c=c1;b=b3&c=c4,0.011098117,1451199000
8751041.323,71320.49375,a=a5&d=d2;b=b4&d=d3;a=a5&d=d2,0.009005473,1451040000
2391649.35,18735.96493,a=a6&b=b10;c=c2&d=d6;a=a4&c=c7,0.03556552,1450821000
9420993.498,73077.74066,a=a1&b=b27;b=b9&d=d2;c=c5&d=d3,0.004020667,1451110500
8978977.678,72593.40785,b=b8&c=c4;b=b35&d=d8;b=b31&c=c8,0.010381279,1451195100
9006946.31,73594.2451,a=a1&c=c3;a=a2&b=b30;a=a4&c=c6,0.025479762,1451042400
8795659.935,67019.03106,a=a4&b=b8;c=c4&d=d5;c=c7&d=d2,0.029991222,1451194500
2281557.533,17641.19687,a=a4&c=c7;a=a2&c=c4;a=a2&d=d3,0.064152153,1450992300
10399213.72,81880.74818,b=b7&d=d4;b=b16&d=d1;a=a2&d=d3,0.029389285,1450851600
8680238.725,70852.02311,c=c4&d=d1;c=c3&d=d1;a=a2&b=b14,0.039735619,1451207400
10739851.33,89746.01322,b=b22&c=c3;b=b9&d=d10;b=b10&c=c4,0.0071263,1450765200
2570645.79,19393.82554,a=a5&d=d5;a=a2&c=c5;a=a4&d=d1,0.022419068,1451168100
8581359.255,70535.89242,b=b21&d=d3;a=a1&d=d6;a=a3&b=b14,0.017916278,1451038740
9393831.323,76144.40082,a=a1&d=d3;b=b25&d=d8;a=a6&c=c3,0.024238351,1451225100
9801486.22,78861.44999,c=c4&d=d10;a=a3&c=c2;b=b2&c=c1,0.026429787,1450962000
10770966.11,85400.8256,b=b31&d=d7;c=c4&d=d2;c=c6&d=d7,0.024205618,1450926600
8513215.213,68088.71543,b=b1&d=d7;b=b31&d=d4;a=a2&c=c8,0.008744412,1451124900
10902360.18,87244.65898,c=c6&d=d1;a=a5&c=c2;a=a2&d=d10,0.00747878,1450857000
8631061.885,74348.04105,a=a2&d=d2;c=c2&d=d5;b=b27&d=d5,0.010282708,1450843800
9202611.77,73426.05785,b=b22&d=d5;b=b6&d=d7;b=b1&d=d2,0.004032796,1451109300
10792955.11,89231.17334,a=a1&b=b13;a=a5&d=d7;a=a5&d=d8,0.033356441,1450682040
10784396.3,82816.25503,b=b30&d=d1;a=a6&d=d10;b=b11&d=d7,0.020405898,1450943160
8105863.368,63335.28835,b=b21&d=d8;a=a4&b=b27;a=a4&d=d4,0.037418535,1451188800
10577984.18,87369.98269,a=a6&b=b5;c=c2&d=d6;b=b35&d=d3,0.005528401,1451031000
9456831.383,73402.63281,b=b2&c=c6;b=b7&d=d5;a=a2&c=c3,0.005154082,1451202300
2383369.68,18452.23393,b=b1&d=d7;a=a3&b=b26;b=b2&d=d7,0.007589449,1451079000
7991285.68,66004.43825,a=a2&d=d7;b=b22&d=d5;a=a4&d=d8,0.045137533,1451190000
10586276.09,87348.8484,a=a4&b=b22;a=a5&d=d7;a=a2&c=c7,0.016830335,1450873800
2853713.088,22648.78139,b=b9&d=d3;a=a4&c=c4;a=a3&c=c5,0.014045303,1450736700
8436406.32,64594.37855,a=a3&c=c1;a=a3&d=d5;a=a6&b=b34,0.072167612,1451020800
10990143.8,90680.71093,b=b23&d=d5;b=b20&c=c3;b=b35&d=d3,0.003705829,1450924800
10626079.92,85172.06092,b=b31&c=c2;b=b7&d=d1;b=b6&c=c4,0.005926643,1450876800
10296725.55,80051.35487,b=b20&d=d1;a=a2&b=b5;b=b5&d=d2,0.007412245,1451025000
3070160.963,24197.70472,a=a5&d=d6;a=a6&b=b14;a=a5&c=c2,0.016495173,1450911300
8518799.153,65163.59468,a=a4&b=b5;a=a5&d=d5;b=b9&c=c7,0.009218629,1451211600
9528141.09,74853.77155,a=a2&c=c3;b=b3&c=c4;b=b26&d=d3,0.005657081,1451200800
8393256.692,64474.80644,b=b20&c=c2;b=b15&c=c1;a=a1&b=b31,0.005606974,1451103900
9392135.638,69570.91763,a=a4&c=c2;a=a1&d=d6;b=b22&c=c3,0.025067546,1451022300
10955772.27,86662.76095,a=a3&d=d6;b=b1&c=c6;a=a3&c=c2,0.01701158,1450685460
2760009.963,23455.9639,b=b25&d=d2;a=a1&c=c1;a=a1&d=d2,0.077811241,1450894200
9096281.38,70558.8238,a=a3&c=c3;a=a2&c=c7;c=c3&d=d3,0.028067884,1451198400
8883463.578,68291.85294,b=b30&d=d7;b=b27&c=c7;c=c6&d=d5,0.010607348,1451097900
9126866.313,75656.52852,a=a5&c=c2;c=c4&d=d6;a=a2&c=c7,0.015874489,1450846200
8467752.665,68304.21076,b=b22&c=c1;b=b5&d=d2;a=a4&c=c8,0.022183763,1450757400
10826644.77,84988.71989,a=a3&d=d10;c=c5&d=d1;c=c2&d=d3,0.009340697,1450752600
4176603.553,36140.88364,a=a5&b=b11;c=c1&d=d4;a=a1&d=d8,0.039695644,1451149500
2757142.08,22300.58693,b=b8&c=c2;c=c1&d=d3;a=a2&b=b6,0.071291061,1450824000
9803670.853,82270.74692,a=a4&c=c1;c=c2&d=d4;a=a4&b=b7,0.060510084,1450870500
2796232.685,22849.51855,a=a4&c=c7;c=c3&d=d4;b=b8&d=d9,0.00816479,1451170500
10511879.67,78649.02412,a=a1&c=c5;b=b10&d=d9;b=b24&d=d1,0.004151808,1451030400
8979053.775,69788.39376,b=b16&d=d6;a=a4&b=b25;b=b25&d=d5,0.004681623,1451107200
9627307.575,74521.11858,c=c2&d=d2;a=a3&d=d6;a=a3&d=d1,0.032112669,1451134800
9862792.04,79685.82989,c=c5&d=d7;b=b10&d=d8;b=b16&c=c1,0.010965594,1451047800
8388048.85,70250.06047,c=c4&d=d3;a=a6&b=b8;b=b22&d=d7,0.038981553,1451186100
9389459.04,73248.3973,a=a4&d=d2;a=a2&b=b6;a=a2&b=b1,0.021485789,1451216700
9916824.25,77679.04601,a=a6&d=d3;a=a1&d=d4;a=a6&b=b34,0.032152023,1450871400
9590648.555,76538.34497,c=c8&d=d8;b=b24&d=d10;b=b12&c=c7,0.003928113,1451044500
8995250.875,74534.74963,b=b30&d=d2;a=a4&b=b20;a=a2&d=d5,0.013010826,1450779000
9752436.738,77445.75715,b=b10&d=d6;a=a3&d=d2;a=a1&d=d2,0.024158586,1450936200
8312071.703,65565.43306,b=b19&d=d8;c=c2&d=d3;b=b4&c=c1,0.012993641,1451103300
8714733.585,68110.53883,b=b21&d=d1;a=a6&c=c3;c=c3&d=d7,0.015562081,1451040600
11008896.77,94977.05453,b=b6&d=d7;b=b24&d=d4;b=b1&d=d2,0.005383522,1450684200
10765675.11,87056.76662,b=b6&d=d2;a=a4&c=c7;a=a5&d=d4,0.023793219,1450925400
2993698.948,24605.3334,a=a6&d=d3;c=c8&d=d7;a=a5&d=d6,0.030153297,1450653900
8396854.763,69321.93575,a=a6&d=d7;a=a6&b=b4;a=a1&d=d2,0.032764399,1451212500
9848788.132,77233.04457,c=c8&d=d8;c=c4&d=d5;a=a6&c=c4,0.040117901,1450698900
10201180.63,76895.00293,c=c1&d=d7;b=b16&d=d7;a=a5&d=d4,0.063082513,1450768560
10453269.31,86064.36034,a=a2&c=c1;a=a6&d=d5;c=c1&d=d2,0.042959339,1450944000
10754471.26,85327.10101,c=c3&d=d1;a=a4&c=c2;a=a1&b=b6,0.027647878,1450667700
10088747.32,81421.19313,c=c6&d=d1;a=a1&d=d1;b=b31&d=d9,0.022676637,1451132400
8807356.493,68950.44688,a=a5&d=d8;b=b10&d=d5;a=a6&b=b31,0.026714688,1450692600
9013020.073,70097.10807,a=a4&b=b14;a=a4&c=c1;b=b27&d=d6,0.03928544,1451112600
10945646,92700.07021,a=a2&b=b6;a=a2&d=d10;b=b15&d=d7,0.006390875,1450753500
10113268.77,86360.53905,b=b22&d=d5;a=a6&b=b23;a=a5&b=b19,0.002851645,1451046600
8931402.865,71799.91003,b=b8&d=d8;a=a4&b=b19;a=a3&c=c3,0.034144716,1451205000
9931671.108,81461.99317,a=a3&d=d6;a=a2&c=c7;a=a5&d=d7,0.02004349,1450960800
10016052.79,78780.13303,b=b14&d=d8;a=a2&c=c3;a=a1&d=d7,0.015988756,1450698060
10574256.16,84141.73791,b=b2&c=c4;c=c8&d=d8;b=b4&c=c7,0.006338466,1451031900
8438880.555,69779.64189,b=b6&d=d5;a=a3&b=b22;c=c3&d=d4,0.008831481,1451124000
9216606.06,72389.38148,a=a5&d=d1;a=a3&b=b10;a=a6&d=d8,0.027916849,1451118000
9486823.698,76449.80347,a=a3&d=d3;b=b29&c=c1;a=a1&b=b12,0.01466466,1450934400
9631794.903,76211.61248,a=a5&d=d7;a=a4&b=b36;a=a3&c=c1,0.093926774,1450666800
10242159.85,78235.2014,a=a4&b=b7;a=a3&d=d1;b=b20&d=d10,0.017431385,1450689300
10708825.07,87261.05285,b=b12&c=c4;c=c6&d=d8;a=a2&c=c2,0.010604513,1450938600
9398265.445,74549.07443,a=a1&b=b25;b=b6&c=c4;a=a5&d=d3,0.020215567,1451114100
9803863.365,81124.71868,a=a1&d=d3;b=b14&d=d6;a=a3&b=b13,0.029360109,1451222400
8818823.5,68802.26228,b=b24&d=d3;a=a4&d=d3;a=a2&d=d5,0.05242761,1450866900
9034326.058,72015.60445,b=b20&d=d1;a=a4&b=b12;c=c3&d=d1,0.016080956,1451120700
